Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
Honda,CX 500 C,Touring Bike,Not provided,1983,"5,000 km",Not provided,Not provided,Not provided,No,1,Yes,Twin | 4 stroke | OHV,37/50,497,2,Electric starter,Not provided,Manual,Not provided,5,Cardan,Disc,Drum,Petrol,0.202,Orange,"6,855"
Harley-Davidson,XR 1000,Sports Bike,07/1983,1983,"8,800 km",1HD1CDH28DY122474,1HD1CDH28DY122474,Not provided,No,1,No,V | 4-stroke | OHV,49/67,998,2,Electric starter,Air,Manual,Pedal Control Left,4,Chain,Disc,Disc,Petrol,Not provided,Others,"21,423"
BMW,K 100,Touring Bike,06/1985,1985,"30,000 km",Not provided,Not provided,Not provided,Yes,1,Yes,Straight | 4-stroke | DOHC,70/95,987,4,Electric starter,Oil-air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.23,Black,"10,283"
Honda,XR 600R,Motocross,01/1993,1992,"2,257 km",Not provided,Not provided,Not provided,No,1,No,4-Takt | SOHC,34/46,591,1,Kickstarter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.146,Others,"5,137"
Bimota,DB1,Sports Bike,01/1986,1986,"1,750 mls",Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | SOHC,46/62,750,2,Electric starter,Air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.165,White,"27,999"
Bimota,DB2,Sports Bike,01/1993,1993,"23,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | SOHC,59/80,904,2,Electric starter,Air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.165,Red,"9,000"
Bimota,DB2,Sports Bike,01/1993,1993,"6,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | SOHC,59/80,904,2,Electric starter,Air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.165,Yellow,"8,000"
Ducati,916 SPS,Sports Bike,01/1997,1997,950 mls,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,99/134,996,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.21,Red,"19,996"
Ducati,1098 R,Racing Motorcycle,01/2008,2008,"9,500 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,132/180,1198,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.19,Red,"15,950"
Ducati,1199 R Panigale,Sports Bike,01/2013,2013,"3,032 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,143/195,1198,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.164,Red,"18,999"
Ducati,999R,Sports Bike,01/2005,2005,500 mls,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,110/150,999,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.205,Red,"29,999"
Ducati,998,Sports Bike,01/2004,2004,"7,466 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt,90/123,998,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.198,Red,"20,000"
Ducati,Sport 1000 S,Racing Motorcycle,01/2009,2009,"1,450 mls",Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | DOHC,68/92,992,2,Electric starter,Air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Red,"15,999"
Ducati,Panigale V4 RS,Racing Motorcycle,01/2018,2018,1 mls,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,147/200,998,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Black,"36,995"
KTM,990 Adventure,Enduro/Scrambler,01/2010,2010,"12,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt,85/116,999,2,Electric starter,Air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.214,Black,"7,999"
Laverda,500,Sports Bike,01/1981,1981,1 mls,Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,33/45,499,2,Electric starter,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Orange,"16,500"
MV Agusta,Brutale 800 RR,Naked Bike,01/2020,2020,1 mls,Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | DOHC,103/140,798,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Black,"10,999"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,01/1999,1999,"13,700 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,93/126,750,4,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Silver,"9,500"
Yamaha,YZF 1000 R1,Racing Motorcycle,01/1999,1999,"16,900 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,110/150,998,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.192,White,"6,500"
Yamaha,YZF 750 R7,Racing Motorcycle,01/2001,2001,"7,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,118/160,749,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.176,White,"47,500"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Grey,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Yellow,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,3 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,912"
Piaggio,Vespa PX 125 E,Scooter,Not provided,1982,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,7/9,123,1,Electric starter,Air,Manual,Not provided,4,Not provided,Not provided,Not provided,Petrol,0.098,Yellow,"4,284"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,9 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,7 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,White,"5,997"
BMW,R 80 G/S,Enduro/Scrambler,01/1984,1984,300 mls,Not provided,Not provided,Not provided,No,Not provided,No,Boxer | 4 stroke | OHC,37/50,798,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,Silver,"12,000"
Ducati,1098 R,Racing Motorcycle,01/2009,2009,"8,500 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,132/180,1198,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.19,White,"25,000"
Ducati,851 SP3,Sports Bike,01/1991,1991,"1,234 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,87/118,888,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.216,Red,"28,888"
Ducati,1199 R Panigale,Sports Bike,01/2014,2014,987 mls,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,143/195,1198,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.164,Orange,"48,999"
Ducati,900 MHR,Racing Motorcycle,01/1984,1984,"1,111 mls",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke | OHC,53/72,864,2,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.195,Yellow,"19,995"
Ducati,888 SP4,Sports Bike,01/1992,1992,123 mls,Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,87/118,888,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.216,White,"55,950"
Piaggio,Vespa 50 S,Scooter,Not provided,1981,"25,119 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,2/3,49,1,Kickstarter,Air,Manual,Twist Grip Gear Change,4,unit swing,Drum,Drum,Petrol,0.07,Others,"2,913"
Ducati,999R,Sports Bike,01/2005,2005,"7,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,110/150,999,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.205,Red,"19,995"
Ducati,999R,Sports Bike,01/2004,2004,"7,200 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,110/150,999,2,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.205,Red,"24,000"
Ducati,999S,Racing Motorcycle,01/2005,2005,"17,433 mls",Not provided,Not provided,Not provided,No,Not provided,No,Twin | 4 stroke | DOHC,100/136,999,2,Electric starter,Oil-air,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.186,Red,"8,500"
Honda,VFR 750R RC 30,Sports Bike,01/1987,1987,"18,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,82/112,748,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.2,Black,"25,000"
Gilera,Saturno,Sports Bike,01/1990,1990,"7,400 mls",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke | DOHC,28/38,499,1,Electric starter,Oil-air,Not provided,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.167,Red,"9,250"
Norton,Dominator SS,Café Racer,01/2019,2018,1 mls,Not provided,Not provided,Not provided,No,Not provided,Yes,Twin | 4 stroke | OHV,59/80,961,2,Electric starter,Oil-air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.188,Grey,"52,950"
Moto Guzzi,Breva V 750 i.e.,Naked Bike,Not provided,2004,"1,250 mls",Not provided,Not provided,Not provided,No,Not provided,No,V | 4 stroke | OHC,33/45,744,2,Electric starter,Air,Manual,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.182,Red,"45,000"
Kawasaki,Ninja 1000 ZX-10RR,Sports Bike,01/2017,2017,50 mls,Not provided,Not provided,Not provided,No,Not provided,No,4 stroke,147/200,998,4,Electric starter,Oil-air,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.206,Green,"22,000"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,383 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Blue,"5,483"
Yamaha,FZR 750 R,Racing Motorcycle,01/1990,1990,"12,000 mls",Not provided,Not provided,Not provided,No,Not provided,No,Straight | 4-stroke | DOHC,88/120,749,4,Electric starter,Air,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.216,White,"25,000"
Yamaha,TZ 350,Racing Motorcycle,01/1980,1980,1 mls,Not provided,Not provided,Not provided,No,Not provided,No,Twin | 2 stroke,47/64,347,2,Kickstarter,water,Manual,Pedal Control Left,Not provided,Chain,Disc,Disc,Petrol,Not provided,Black,"19,000"
Piaggio,Vespa PX 200 E,Scooter,Not provided,1984,"94,884 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,9/12,198,1,Electric starter,Fan,Manual,Twist Grip Gear Change,4,unit swing,Not provided,Not provided,Petrol,Not provided,White,"2,570"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Red,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,White,"5,997"
Yamaha,XJ 550,Touring Bike,Not provided,1984,"41,500 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,1/1 (Factory: 37/50),1 (Factory: 528),4,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Red,"3,599"
BMW,K 1200 RS,Racing Motorcycle,Not provided,1997,"26,600 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,96/130,1172,4,unknown,water,Not provided,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.28,Blue,"2,999"
Yamaha,XVS 650 Drag Star,Chopper,Not provided,1999,"36,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,29/40,649,2,unknown,Air,Not provided,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.29,Black,"3,770"
Bimota,BB1 Supermono,Racing Motorcycle,01/1995,1995,"15,000 km",Not provided,Not provided,Not provided,Yes,1,No,4 stroke,35/48,625,1,Electric starter,water,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.145,Red,"10,197"
Moto Guzzi,California II,Touring Bike,01/1983,1983,"60,000 km",Not provided,Not provided,Not provided,Yes,1,No,V | 4-stroke | OHV,49/67,949,2,Electric starter,Air,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,Not provided,Black,"7,284"
Suzuki,GSX 1100 E,Touring Bike,Not provided,1981,Not provided,GS110X-532321,GS110X-152005,/,No,Not provided,No,Straight | 4-stroke | DOHC,76/104,1074,4,Electric starter,Air,Manual,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.256,Black,"8,483"
BMW,R 100 RS,Touring Bike,Not provided,1983,"15,500 km",Not provided,Not provided,Not provided,No,2,No,Boxer | 4 stroke,51/70,979,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.23,Red,"5,913"
Moto Guzzi,V35 C,"Chopper/Cruiser, Oldtimer",Not provided,1982,"32,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,26/35,347,2,unknown,Air,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,0.154,Blue,"4,027"
Kawasaki,Z 1-R,Sports Bike,05/1980,1980,"25,009 mls",KZT00G-502189,KZT00GE003011,Not provided,Yes,2,No,Straight | 4-stroke | DOHC,66/90,1016,4,Electric starter,Air,Manual,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,0.272,Black,"7,712"
Ducati,916,Sports Bike,Not provided,1997,"8,500 km",Not provided,Not provided,Not provided,No,Not provided,No,V | 4-Takt | DOHC,82/112,916,2,Electric starter,water,Manual,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Red,"13,539"
BMW,R 1200 C,Cruiser,Not provided,2001,"8,124 mls",Not provided,Not provided,Not provided,Yes,2,No,Boxer | 4 stroke,45/61,1170,2,Electric starter,Oil-air,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.256,Yellow,"7,284"
Moto Guzzi,MGS-01 Corsa,Racing Motorcycle,Not provided,2004,"1,811 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,94/128,1225,2,unknown,Air,Not provided,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.179,Others,"39,417"
Piaggio,Vespa PK 50 Automatica,Scooter,Not provided,1984,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,3/4,49,1,unknown,Air,Not provided,Twist Grip Gear Change,4,Not provided,Drum,Drum,Petrol,0.077,Others,"3,342"
Piaggio,Vespa PK 125 S,Scooter,Not provided,1984,"20,513 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,121,1,unknown,Air,Not provided,Twist Grip Gear Change,4,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"4,199"
Piaggio,Vespa 946 125,Scooter,Not provided,2015,747 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,9/12,125,1,unknown,Air,Not provided,Not provided,Not provided,unit swing,Disc,Not provided,Petrol,0.125,Others,"11,997"
MV Agusta,F4 1000 S,Racing Motorcycle,Not provided,2005,"18,130 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,122/166,998,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.192,Others,"18,852"
Honda,RVF 750,Sports Bike,Not provided,1994,"23,966 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4 stroke | OHC,88/120,749,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.212,Others,"41,988"
Montesa,Cota 4RT 260,Enduro/Scrambler,Not provided,2018,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1,259,1,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"6,770"
BMW,R 100 RS,Touring Bike,Not provided,1982,"53,477 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,51/70,980,2,unknown,Air,Not provided,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.23,Others,"7,712"
BMW,R 850 GS,Enduro/Scrambler,Not provided,1999,"67,120 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,54/73,848,2,unknown,Oil-air,Not provided,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.238,Others,"4,199"
Ducati,Panigale V4 R,Sports Bike,Not provided,2019,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,163/221,955,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Others,"21,251"
Honda,CRF 450 R,Motocross,Not provided,2018,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1,449,1,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.11,Others,"8,398"
Moto Guzzi,Daytona 1000,Sports Bike,Not provided,1996,"19,010 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,70/95,992,2,unknown,Air,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.227,Others,"23,136"
Harley-Davidson,FXSTSB Bad Boy,Chopper,Not provided,1995,"21,610 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,43/58,1340,2,unknown,Air,Not provided,Not provided,5,Belt,Disc,Disc,Petrol,0.281,Others,"18,852"
Harley-Davidson,FLSTCI Heritage Softail Classic,Bike/Sidecar combination,Not provided,2006,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | OHV,51/70,1450,2,unknown,Air,Not provided,Pedal Control Left,6,Belt,Disc,Disc,Petrol,0.295,Others,"11,568"
Suzuki,GSX 750SF Katana,Sports Bike,Not provided,1981,2 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,62/84,750,4,unknown,Air,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,0.254,Others,"14,567"
Ducati,Desmosedici RR,Racing Motorcycle,Not provided,2008,"1,689 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,138/188,990,4,unknown,water,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Others,"94,259"
Moto Guzzi,Daytona 1000,Sports Bike,Not provided,1996,"24,480 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,70/95,992,2,unknown,Air,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.227,Others,"23,136"
Yamaha,YZF 750 R7,Racing Motorcycle,Not provided,2001,"4,831 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,118/160,749,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.176,Others,"47,130"
BMW,R 80 G/S,Enduro/Scrambler,Not provided,1983,"23,407 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHC,37/50,798,2,unknown,Air,Not provided,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,Others,"9,854"
KTM,990 Adventure,Enduro/Scrambler,Not provided,2007,"117,643 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt,85/116,990,2,unknown,Air,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.214,Others,"5,570"
BMW,HP2 Sport,Sports Bike,Not provided,2007,"62,472 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,98/133,1170,4,unknown,water,Not provided,Pedal Control Left,6,Cardan,Disc,Disc,Petrol,0.248,Others,"12,854"
Aprilia,MXV 450,Motocross,Not provided,2007,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1,450,2,unknown,Oil-air,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,Not provided,Others,"15,253"
Suzuki,GSX-R 750,Sports Bike,Not provided,1991,"42,805 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,85/115,750,4,unknown,Oil-air,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.234,Others,"4,627"
Honda,VFR 750R RC 30,Racing Motorcycle,Not provided,1997,"8,005 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,88/120,750,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.236,Others,"12,768"
Kawasaki,ZX-10,Sports Bike,Not provided,1989,"61,319 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,101/137,998,4,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.261,Others,"3,171"
Honda,VF 500 F,Sports Bike,Not provided,1984,"19,084 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,51/70,500,4,unknown,Oil-air,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,Not provided,Others,"2,999"
Ducati,916 R,Sports Bike,Not provided,2000,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,82/112,748 (Factory: 916),2,unknown,water,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Others,"8,569"
Ducati,851 SP2,Sports Bike,Not provided,1990,"6,785 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,80/109,851,2,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.217,Others,"38,561"
Ducati,900 MHR,Racing Motorcycle,Not provided,1984,"52,135 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | OHC,53/72,900,2,unknown,Air,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,0.195,Others,"25,707"
Ducati,916,Sports Bike,Not provided,1997,"10,854 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,82/112,916,2,unknown,water,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.2,Others,"20,566"
BMW,R 850 GS,Enduro/Scrambler,Not provided,1999,"106,066 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,54/73,850,2,unknown,Oil-air,Not provided,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.238,Others,"4,627"
Honda,CBX 1000,Sports Bike,Not provided,1981,"80,575 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4 stroke | OHC,77/105,1000,6,unknown,Not provided,Not provided,Not provided,5,Chain,Not provided,Not provided,Petrol,Not provided,Others,"8,569"
Piaggio,Vespa PK 50 XL,Scooter,Not provided,1987,"6,272 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,4/5,50,1,unknown,Fan,Not provided,Twist Grip Gear Change,Not provided,unit swing,Drum,Drum,Petrol,Not provided,Others,"4,113"
Honda,XL 600R,Enduro/Scrambler,Not provided,1985,"56,528 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4-Takt | SOHC,32/44,600,1,unknown,Air,Not provided,Pedal Control Left,5,Chain,Disc,Drum,Petrol,0.135,Others,"2,999"
Ducati,996 R,Sports Bike,Not provided,2001,"35,680 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,99/135,996,2,unknown,water,Not provided,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.2,Others,"32,562"
Ducati,Monster 1200 - 25° Anniversario,Sports Bike,Not provided,2019,"1,891 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke,1/1 (Factory: 108/147),1200,2,unknown,Oil-air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.184,Others,"23,565"
BMW,K 1200 LT,Touring Bike,Not provided,2002,"84,013 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,72/98,1200,4,unknown,water,Not provided,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.345,Others,"8,997"
Puch,Frigerio 347 RG,Motocross,Not provided,1980,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1,349,1,unknown,Air,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Others,"7,541"
Ducati,906 Paso,Sports Bike,Not provided,1989,"29,834 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | SOHC,65/88,904,2,unknown,water,Not provided,Not provided,5,Chain,Disc,Disc,Petrol,Not provided,Others,"6,598"
Ducati,998,Sports Bike,Not provided,1999,239 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt,1/1 (Factory: 90/123),998,2,unknown,water,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,0.198,Others,"19,709"
