Make,Model,Type,First-registration-date,Year-of-manufacture,Mileage,Chassis-number,Engine-number,Gearbox-number,Matching-numbers,Previous-owners,Café-Racer,Engine-Type,Power,Cubic-capacity,Cylinders,Starter,Cooling,Gearbox,Gearshift,Gears,Transmission,Front-breaks,Rear-breaks,Fuel-type,Curb-weight,Exterior-color,Price
BMW,R 45,Touring Bike,Not provided,1981,"97,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,26/35,470,2,unknown,Air,Manual,Not provided,5,Cardan,Disc,Drum,Petrol,0.185,Blue,"3,085"
BMW,R 100 G/S,Enduro/Scrambler,Not provided,1992,"64,942 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,44/60,980,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.21,Black,"7,712"
Benelli,900 Sei,Touring Bike,Not provided,1985,"14,630 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4 stroke | SOHC,59/80,906,6,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.25,Black,"17,129"
Ducati,1098 R,Racing Motorcycle,Not provided,2009,"7,850 km",Not provided,Not provided,Not provided,No,> 6,Not provided,V | 4-Takt | DOHC,132/180,1198,2,Electric starter,water,Not provided,Not provided,6,Chain,Disc,Disc,Petrol,0.19,White,"29,992"
Harley-Davidson,Dyna Glide Custom,Cruiser,Not provided,1988,"2,936 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-stroke | OHV,36/49,1337,2,Electric starter,Air,Manual,Pedal Control Left,5,Belt,Disc,Disc,Petrol,0.28,Others,"13,925"
Yamaha,TZ 350,Racing Motorcycle,Not provided,1982,Not provided,Not provided,Not provided,Not provided,No,Not provided,No,Twin | 2 stroke,47/64,350,2,Push start,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,Not provided,Black,"15,000"
Honda,CB 750F,Touring Bike,Not provided,1984,"26,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4 stroke | OHC,57/78,748,4,unknown,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,Not provided,White,"3,770"
BMW,R 100 RS,Touring Bike,Not provided,1990,"11,727 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHV,44/60,979,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.243,White,"5,656"
Ducati,900 MHR,Racing Motorcycle,Not provided,1984,"27,548 km",Not provided,Not provided,Not provided,No,Not provided,No,4 stroke | OHC,53/72,864,2,Electric starter,Air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.195,Red,"19,623"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,12 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1982,15 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Manual,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Piaggio,Vespa 125 Primavera ET3,Scooter,Not provided,1981,8 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,5/7,123,1,Kickstarter,Fan,Not provided,Twist Grip Gear Change,3,unit swing,Drum,Drum,Petrol,0.078,Others,"5,997"
Suzuki,XR69 Harris F1,Racing Motorcycle,Not provided,1982,1 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,99/134,1000,4,unknown,Air,Not provided,Pedal Control Left,5,Chain,Disc,Disc,Petrol,0.175,Others,"24,679"
Piaggio,Vespa APE TM,Three Wheeler/Trike,Not provided,1998,200 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,1/1 (Factory: 5/7),1 (Factory: 218),1,unknown,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Blue,"11,054"
Yamaha,XVZ 1300 Royal Star,Chopper,Not provided,1999,"69,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,55/75,1294,4,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.34,Blue,"7,541"
BMW,R 80 GS Basic,Enduro/Scrambler,Not provided,1997,"10,855 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHC,37/50,798,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.22,White,"18,423"
Harley-Davidson,FXDWG Dyna Wide Glide,Chopper,Not provided,1993,"30,130 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Twin | 4 stroke | OHV,40/55,1337,2,Electric starter,Air,Not provided,Not provided,5,Belt,Disc,Drum,Petrol,Not provided,Black,"10,968"
BMW,K 100,Touring Bike,Not provided,1984,"108,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,70/95,987,4,Electric starter,Oil-air,Not provided,Not provided,Not provided,Cardan,Disc,Disc,Petrol,0.23,Others,"2,998"
BMW,R 100 G/S,Enduro/Scrambler,Not provided,1992,"64,942 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,44/60,980,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.21,Black,"7,712"
Honda,CR 250,Motocross,Not provided,1991,100 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,0/0,1 (Factory: 250),Not provided,unknown,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Petrol,Not provided,Red,"4,713"
Honda,CBR 900RR Fireblade,Sports Bike,Not provided,1998,"53,415 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,96/130,919,4,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Disc,Petrol,0.204,Black,"2,742"
BMW,R 80 G/S,Enduro/Scrambler,Not provided,1992,"40,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke | OHC,37/50,798,2,Electric starter,Air,Manual,Pedal Control Left,5,Cardan,Disc,Drum,Petrol,0.235,Black,"5,141"
BMW,R 100 R,Touring Bike,Not provided,1994,"32,800 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,44/60,980,2,Electric starter,Oil-air,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.21,Blue,"6,770"
Triumph,Legend TT,Touring Bike,Not provided,2000,"29,800 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,51/69,885,3,Electric starter,water,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.23,Black,"4,370"
Suzuki,GSF 1200S Bandit,Touring Bike,Not provided,1999,"49,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,72/98,1157,4,Electric starter,Oil-air,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.22,Others,"3,685"
Honda,VF 1000F,Touring Bike,Not provided,1986,"64,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt | DOHC,90/122,998,2,Electric starter,water,Manual,Not provided,5,Chain,Disc,Disc,Petrol,0.26,Red,"3,213"
Honda,ST 1100 Pan European,Touring Bike,Not provided,1990,"87,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,V | 4-Takt,72/98,1084,4,Electric starter,water,Not provided,Not provided,5,Cardan,Disc,Disc,Petrol,0.327,Grey,"3,256"
Ducati,600 SL Pantah,Sports Bike,Not provided,1983,300 km,Not provided,Not provided,Not provided,No,Not provided,Not provided,4 stroke | DOHC,38/52,583,2,unknown,Not provided,Not provided,Not provided,Not provided,Chain,Not provided,Not provided,Petrol,Not provided,Red,"11,911"
BMW,K 100 LT,Touring Bike,Not provided,1987,"117,368 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,66/90,987,4,Electric starter,water,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.283,Gold,"2,571"
BMW,K 100 RS,Touring Bike,Not provided,1984,"55,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Straight | 4-stroke | DOHC,66/90,987,4,Electric starter,water,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.253,Silver,"3,342"
Honda,F6C Valkyrie,Chopper,Not provided,2000,"58,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4-Takt | SOHC,74/100,1520,6,Electric starter,water,Manual,Not provided,5,Cardan,Disc,Disc,Petrol,0.309,Blue,"7,284"
BMW,R 45,Touring Bike,Not provided,1981,"97,200 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4 stroke,26/35,470,2,unknown,Air,Manual,Not provided,5,Cardan,Disc,Drum,Petrol,0.185,Blue,"3,256"
Honda,GL 1500 Gold Wing,Touring Bike,Not provided,1992,"124,800 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,Boxer | 4-Takt | SOHC,72/98,1520,6,Electric starter,water,Manual,Pedal Control Left,5,Cardan,Disc,Disc,Petrol,0.39,Black,"6,341"
Gilera,RC 125 Rally,Enduro/Scrambler,Not provided,1990,"10,000 km",Not provided,Not provided,Not provided,No,Not provided,Not provided,2 stroke,18/24,124,1,Electric starter,water,Manual,Pedal Control Left,6,Chain,Disc,Drum,Petrol,Not provided,Black,"2,828"
